GRP_CD,CMN_CD,GRP_NM,CMN_NM,ORDR,REF_KEY_1,REF_KEY_2,REF_KEY_3,REF_KEY_4,REF_KEY_5,REG_DT,REG_USR,UPD_DT,UPD_USR,USE_YN,DEL_YN
CMMN_264,812200,워크넷 직종분류,선박 정비원,968,09,,,,,2021-08-09 13:16:43,SYSTEM,2021-08-09 13:16:43,SYSTEM,Y,N
CMMN_264,812300,워크넷 직종분류,철도기관차·전동차 정비원,969,09,,,,,2021-08-09 13:16:43,SYSTEM,2021-08-09 13:16:43,SYSTEM,Y,N
CMMN_264,812400,워크넷 직종분류,자동차 정비원,970,09,,,,,2021-08-09 13:16:43,SYSTEM,2021-08-09 13:16:43,SYSTEM,Y,N
CMMN_264,812401,워크넷 직종분류,자동차 엔진·섀시·전기·전자 정비원,971,09,,,,,2021-08-09 13:16:43,SYSTEM,2021-08-09 13:16:43,SYSTEM,Y,N
CMMN_264,812402,워크넷 직종분류,자동차 차체·판금·도장 정비원,972,09,,,,,2021-08-09 13:16:43,SYSTEM,2021-08-09 13:16:43,SYSTEM,Y,N
CMMN_264,812403,워크넷 직종분류,자동차 경정비원,973,09,,,,,2021-08-09 13:16:44,SYSTEM,2021-08-09 13:16:44,SYSTEM,Y,N
CMMN_264,812404,워크넷 직종분류,자동차 튜닝원,974,09,,,,,2021-08-09 13:16:44,SYSTEM,2021-08-09 13:16:44,SYSTEM,Y,N
CMMN_264,812900,워크넷 직종분류,오토바이·자전거 및 기타 운송장비 정비원,975,09,,,,,2021-08-09 13:16:44,SYSTEM,2021-08-09 13:16:44,SYSTEM,Y,N
CMMN_264,813100,워크넷 직종분류,금형원,977,09,,,,,2021-08-09 13:16:44,SYSTEM,2021-08-09 13:16:44,SYSTEM,Y,N
CMMN_264,813101,워크넷 직종분류,프레스 금형 제조원,978,09,,,,,2021-08-09 13:16:44,SYSTEM,2021-08-09 13:16:44,SYSTEM,Y,N
CMMN_264,813102,워크넷 직종분류,플라스틱 금형 제조원,979,09,,,,,2021-08-09 13:16:44,SYSTEM,2021-08-09 13:16:44,SYSTEM,Y,N
CMMN_264,813103,워크넷 직종분류,다이캐스팅 금형 제조원,980,09,,,,,2021-08-09 13:16:44,SYSTEM,2021-08-09 13:16:44,SYSTEM,Y,N
CMMN_264,813104,워크넷 직종분류,캐드캠 기능원,981,09,,,,,2021-08-09 13:16:44,SYSTEM,2021-08-09 13:16:44,SYSTEM,Y,N
CMMN_264,813105,워크넷 직종분류,금형제조 보조원,982,09,,,,,2021-08-09 13:16:44,SYSTEM,2021-08-09 13:16:44,SYSTEM,Y,N
CMMN_264,813200,워크넷 직종분류,금속 공작기계 조작원,983,09,,,,,2021-08-09 13:16:44,SYSTEM,2021-08-09 13:16:44,SYSTEM,Y,N
CMMN_264,813201,워크넷 직종분류,CNC 선반 조작원(NC 선반 조작원),984,09,,,,,2021-08-09 13:16:44,SYSTEM,2021-08-09 13:16:44,SYSTEM,Y,N
CMMN_264,813202,워크넷 직종분류,범용 선반 조작원,985,09,,,,,2021-08-09 13:16:44,SYSTEM,2021-08-09 13:16:44,SYSTEM,Y,N
CMMN_264,813203,워크넷 직종분류,CNC 밀링기 조작원(NC 밀링기 조작원),986,09,,,,,2021-08-09 13:16:44,SYSTEM,2021-08-09 13:16:44,SYSTEM,Y,N
CMMN_264,813204,워크넷 직종분류,범용 밀링기조작원,987,09,,,,,2021-08-09 13:16:44,SYSTEM,2021-08-09 13:16:44,SYSTEM,Y,N
CMMN_264,813205,워크넷 직종분류,드릴링기 및 보링기 조작원,988,09,,,,,2021-08-09 13:16:45,SYSTEM,2021-08-09 13:16:45,SYSTEM,Y,N
CMMN_264,813206,워크넷 직종분류,연삭기 및 연마(광택)기 조작원,989,09,,,,,2021-08-09 13:16:45,SYSTEM,2021-08-09 13:16:45,SYSTEM,Y,N
CMMN_264,813207,워크넷 직종분류,프레스기 및 절단기 조작원,990,09,,,,,2021-08-09 13:16:45,SYSTEM,2021-08-09 13:16:45,SYSTEM,Y,N
CMMN_264,813208,워크넷 직종분류,톱기계 조작원,991,09,,,,,2021-08-09 13:16:45,SYSTEM,2021-08-09 13:16:45,SYSTEM,Y,N
CMMN_264,813209,워크넷 직종분류,금속절곡기 조작원(밴딩기 조작원),992,09,,,,,2021-08-09 13:16:45,SYSTEM,2021-08-09 13:16:45,SYSTEM,Y,N
CMMN_264,813210,워크넷 직종분류,머시닝센터(MCT) 조작원,993,09,,,,,2021-08-09 13:16:45,SYSTEM,2021-08-09 13:16:45,SYSTEM,Y,N
CMMN_264,813211,워크넷 직종분류,방전기 및 와이어컷 방전기 조작원,994,09,,,,,2021-08-09 13:16:45,SYSTEM,2021-08-09 13:16:45,SYSTEM,Y,N
CMMN_264,813212,워크넷 직종분류,레이저 절단원,995,09,,,,,2021-08-09 13:16:45,SYSTEM,2021-08-09 13:16:45,SYSTEM,Y,N
CMMN_264,813213,워크넷 직종분류,기타 금속공작기계 조작원 및 보조원,996,09,,,,,2021-08-09 13:16:45,SYSTEM,2021-08-09 13:16:45,SYSTEM,Y,N
CMMN_264,814000,워크넷 직종분류,냉·난방 설비 조작원,999,09,,,,,2021-08-09 13:16:45,SYSTEM,2021-08-09 13:16:45,SYSTEM,Y,N
CMMN_264,814001,워크넷 직종분류,산업용 냉난방 설비 조작원,1000,09,,,,,2021-08-09 13:16:45,SYSTEM,2021-08-09 13:16:45,SYSTEM,Y,N
CMMN_264,814002,워크넷 직종분류,건물용 냉난방 설비 조작원,1001,09,,,,,2021-08-09 13:16:45,SYSTEM,2021-08-09 13:16:45,SYSTEM,Y,N
CMMN_264,815000,워크넷 직종분류,자동조립라인·산업용로봇 조작원,1002,09,,,,,2021-08-09 13:16:45,SYSTEM,2021-08-09 13:16:45,SYSTEM,Y,N
CMMN_264,815001,워크넷 직종분류,자동조립라인 조작원,1003,09,,,,,2021-08-09 13:16:46,SYSTEM,2021-08-09 13:16:46,SYSTEM,Y,N
CMMN_264,815002,워크넷 직종분류,산업용 로봇 조작원,1004,09,,,,,2021-08-09 13:16:46,SYSTEM,2021-08-09 13:16:46,SYSTEM,Y,N
CMMN_264,816100,워크넷 직종분류,일반기계 조립원,1007,09,,,,,2021-08-09 13:16:46,SYSTEM,2021-08-09 13:16:46,SYSTEM,Y,N
CMMN_264,816101,워크넷 직종분류,공작기계 조립·검사원,1008,09,,,,,2021-08-09 13:16:46,SYSTEM,2021-08-09 13:16:46,SYSTEM,Y,N
CMMN_264,816102,워크넷 직종분류,공업기계 조립·검사원(공작기계 제외),1009,09,,,,,2021-08-09 13:16:46,SYSTEM,2021-08-09 13:16:46,SYSTEM,Y,N
CMMN_264,816103,워크넷 직종분류,건설·광업·농업 기계 조립·검사원,1010,09,,,,,2021-08-09 13:16:46,SYSTEM,2021-08-09 13:16:46,SYSTEM,Y,N
CMMN_264,816104,워크넷 직종분류,공구 조립·검사원,1011,09,,,,,2021-08-09 13:16:46,SYSTEM,2021-08-09 13:16:46,SYSTEM,Y,N
CMMN_264,816105,워크넷 직종분류,기타 기계 조립·검사원,1012,09,,,,,2021-08-09 13:16:46,SYSTEM,2021-08-09 13:16:46,SYSTEM,Y,N
CMMN_264,816200,워크넷 직종분류,금속기계부품 조립원,1013,09,,,,,2021-08-09 13:16:46,SYSTEM,2021-08-09 13:16:46,SYSTEM,Y,N
CMMN_264,817100,워크넷 직종분류,자동차 조립·검사원,1014,09,,,,,2021-08-09 13:16:46,SYSTEM,2021-08-09 13:16:46,SYSTEM,Y,N
CMMN_264,817200,워크넷 직종분류,자동차 부품 조립·검사원,1015,09,,,,,2021-08-09 13:16:46,SYSTEM,2021-08-09 13:16:46,SYSTEM,Y,N
CMMN_264,817300,워크넷 직종분류,항공기·선박·철도기관차·전동차 등 운송장비 조립·검사원,1016,09,,,,,2021-08-09 13:16:46,SYSTEM,2021-08-09 13:16:46,SYSTEM,Y,N
CMMN_264,821100,워크넷 직종분류,금속가공 제어장치 조작원(용광로·용해로·금속가열로),1019,09,,,,,2021-08-09 13:16:46,SYSTEM,2021-08-09 13:16:46,SYSTEM,Y,N
CMMN_264,821200,워크넷 직종분류,금속가공 기계 조작원,997,09,,,,,2021-08-09 13:16:45,SYSTEM,2021-08-09 13:16:45,SYSTEM,Y,N
CMMN_264,821201,워크넷 직종분류,압연기 조작원,1021,09,,,,,2021-08-09 13:16:47,SYSTEM,2021-08-09 13:16:47,SYSTEM,Y,N
