BIZRNO,ENT_NM,HDQTR_KOR_ADRS,HDQTR_KOR_DETAIL_ADRS,HDQTR_LEGAL_CD,HOMP_URL
0200000012,고양시어린이급식관리지원센터,"경기 고양시 덕양구 고양시청로 3 (주교동, 충헌빌딩)",2층,4128110100,
0200000013,고양시자살예방센터,"경기 고양시 일산서구 중앙로 1443 (주엽동, 가람상가)",4층,4128710200,
0200000014,고양시육아종합지원센터,"경기 고양시 덕양구 화신로 325 (화정동, 꽃우물어린이집)",,4128112300,https://echild.or.kr/index.php
0200000015,고양시자치공동체지원센터,"경기 고양시 일산동구 중앙로 1228 (마두동, KT고양지사)",,4128510500,https://goyang.center/goyang/
0200000016,고양시관광컨벤션협의회,"경기 고양시 일산서구 킨텍스로 217-59 (대화동, 제2킨텍스)",,4128710400,http://www.goyangtca.or.kr/contents/main/
0200000017,고양시지역사회보장협의체,"경기 고양시 덕양구 고양시청로 13-6 (주교동, 현대빌딩)",,4128110100,http://www.gyswc.co.kr/
0200000018,국군고양병원,"경기 고양시 덕양구 고양시청로 10 (주교동, 고양시청)",,4128110100,http://www.goyang.go.kr/index.do
0200000019,경기도고양교육지원청,"경기 고양시 일산동구 중앙로 1296 (마두동, 경기도고양교육청)",,4128510500,http://www.kengy.go.kr/
0200000020,고양어린이박물관,"경기 고양시 덕양구 화중로 26 (화정동, 고양시 어린이 박물관)",,4128112300,http://www.goyangcm.or.kr/Main/
0200000021,고양시립하나어린이집,"경기 고양시 덕양구 고양시청로 10 (주교동, 고양시청)",,4128110100,http://www.goyang.go.kr/www/index.do
0200000022,고양시립호수아이어린이집,"경기 고양시 덕양구 고양시청로 10 (주교동, 고양시청)",,4128110100,http://www.goyang.go.kr/www/index.do
0200000023,고양시립은솔어린이집,"경기 고양시 덕양구 고양시청로 10 (주교동, 고양시청)",,4128110100,http://www.goyang.go.kr/www/index.do
0200000024,고양시립라임어린이집,"경기 고양시 덕양구 고양시청로 10 (주교동, 고양시청)",,4128110100,http://www.goyang.go.kr/www/index.do
0200000025,고양시정신건강복지센터,"경기 고양시 덕양구 고양시청로 13-6 (주교동, 현대빌딩)",,4128110100,https://www.goyangmaum.org/
0200000026,고양시 식사도서관,"경기 고양시 일산동구 위시티2로 43-6 (식사동, 고양시립식사도서관)",,4128510100,http://www.goyanglib.or.kr/sik/main/index.asp
0200000027,고양시립큰숲어린이집,"경기 고양시 덕양구 고양시청로 10 (주교동, 고양시청)",,4128110100,http://www.goyang.go.kr/www/index.do
0200000028,고양시립한별어린이집,"경기 고양시 덕양구 고양시청로 10 (주교동, 고양시청)",,4128110100,http://www.goyang.go.kr/www/index.do
0200000029,가좌보건지소,"경기 고양시 일산서구 가좌3로 16 (가좌동, 가좌도서관및보건지소)",,4128710600,http://www.goyang.go.kr/health/index.do
0200000030,고양시여성창업지원센터,경기 고양시 일산서구 하이파크3로 75 (덕이동),,4128710500,http://www.gywbi.or.kr/main.aspx
0200000031,고양시여성회관,"경기 고양시 덕양구 용현로 48 (행신동, 고양시여성회관)",,4128112800,http://www.goyang.go.kr/www/index.do
0200000032,DMZ국제다큐멘터리영화제,"경기 고양시 일산동구 중앙로 1036 (백석동, 베스트 고양터미널)",고양종합터미널 4층 (10450) (사)디엠지국제다큐멘터리영화제,4128510600,https://dmzdocs.com/kor/default.asp
0200000033,고양시 작은도서관,경기 고양시 덕양구 혜음로 19-11 (고양동),,4128111600,https://cafe.naver.com/gylibrary
0200000034,고양시립높빛도서관,경기 고양시 덕양구 푸른마을로 34-8 (고양동),,4128111600,https://www.goyanglib.or.kr/center/index.do
0200000035,고양시 주엽어린이도서관,"경기 고양시 일산서구 주엽로 104 (주엽동, 주엽어린이도서관)",,4128710200,https://www.goyanglib.or.kr/MG/index.do
0200000036,육군 제9보병사단,,,,https://www.army.mil.kr/webapp/user/indexMain.do?siteId=army
0200000037,고양시교통약자이동지원센터,"경기 고양시 일산동구 강송로 14 (백석동, 고양시 어린이교통공원)",,4128510600,https://calltaxi.gys.or.kr/home.do;jsessionid=14C50ADF346050334BF40FE5B571DF41
0200000038,육군 제1군단,"경기 고양시 덕양구 호국로 1895 (벽제동, 삼성벽제아파트)",,4128111400,
0200000039,육군 1719부대,경기 고양시 덕양구 호국로 1172-3 (원당동),,4128110200,
